date,symbol,rate
2023-01-09,ZAR,18.2059
2023-01-10,AUD,1.5616
2023-01-10,BGN,1.9558
2023-01-10,BRL,5.6471
2023-01-10,CAD,1.4382
2023-01-10,CHF,0.9908
2023-01-10,CNY,7.2732
2023-01-10,CZK,23.984
2023-01-10,DKK,7.4375
2023-01-10,GBP,0.8833
2023-01-10,HKD,8.374
2023-01-10,HUF,399.0
2023-01-10,IDR,16675.0
2023-01-10,ILS,3.7244
2023-01-10,INR,87.7
2023-01-10,ISK,154.7
2023-01-10,JPY,141.92
2023-01-10,KRW,1338.38
2023-01-10,MXN,20.53
2023-01-10,MYR,4.6889
2023-01-10,NOK,10.6785
2023-01-10,NZD,1.6879
2023-01-10,PHP,58.751
2023-01-10,PLN,4.695
2023-01-10,RON,4.9338
2023-01-10,SEK,11.1963
2023-01-10,SGD,1.429
2023-01-10,THB,36.024
2023-01-10,TRY,20.136
2023-01-10,USD,1.0723
2023-01-10,ZAR,18.3054
2023-01-11,AUD,1.5588
2023-01-11,BGN,1.9558
2023-01-11,BRL,5.584
2023-01-11,CAD,1.4429
2023-01-11,CHF,0.9967
2023-01-11,CNY,7.2807
2023-01-11,CZK,24.027
2023-01-11,DKK,7.4375
2023-01-11,GBP,0.88673
2023-01-11,HKD,8.3974
2023-01-11,HUF,399.1
2023-01-11,IDR,16612.0
2023-01-11,ILS,3.7104
2023-01-11,INR,87.81
2023-01-11,ISK,154.3
2023-01-11,JPY,142.61
2023-01-11,KRW,1341.01
2023-01-11,MXN,20.496
2023-01-11,MYR,4.6975
2023-01-11,NOK,10.738
2023-01-11,NZD,1.6912
2023-01-11,PHP,59.013
2023-01-11,PLN,4.6819
2023-01-11,RON,4.9335
2023-01-11,SEK,11.2783
2023-01-11,SGD,1.4316
2023-01-11,THB,35.895
2023-01-11,TRY,20.179
2023-01-11,USD,1.0747
2023-01-11,ZAR,18.2827
2023-01-12,AUD,1.557
2023-01-12,BGN,1.9558
2023-01-12,BRL,5.5556
2023-01-12,CAD,1.4439
2023-01-12,CHF,1.0056
2023-01-12,CNY,7.27
2023-01-12,CZK,24.036
2023-01-12,DKK,7.4385
2023-01-12,GBP,0.8869
2023-01-12,HKD,8.4121
2023-01-12,HUF,399.6
2023-01-12,IDR,16456.0
2023-01-12,ILS,3.6893
2023-01-12,INR,87.78
2023-01-12,ISK,154.3
2023-01-12,JPY,140.61
2023-01-12,KRW,1340.17
2023-01-12,MXN,20.374
